"computation time (s)","series size n","series_type","visibility","Method"
0.00014,10.00000,"walk","nvg","basic"
0.00011,10.00000,"walk","nvg","dc"
0.00021,10.00000,"walk","nvg","bt"
0.00009,10.00000,"walk","hvg","basic"
0.00010,10.00000,"walk","hvg","dc"
0.00010,10.00000,"walk","hvg","bt"
0.00010,10.00000,"walk","nvg","basic"
0.00011,10.00000,"walk","nvg","dc"
0.00022,10.00000,"walk","nvg","bt"
0.00011,10.00000,"walk","hvg","basic"
0.00011,10.00000,"walk","hvg","dc"
0.00010,10.00000,"walk","hvg","bt"
0.00009,10.00000,"walk","nvg","basic"
0.00007,10.00000,"walk","nvg","dc"
0.00015,10.00000,"walk","nvg","bt"
0.00006,10.00000,"walk","hvg","basic"
0.00007,10.00000,"walk","hvg","dc"
0.00009,10.00000,"walk","hvg","bt"
0.00009,10.00000,"walk","nvg","basic"
0.00008,10.00000,"walk","nvg","dc"
0.00016,10.00000,"walk","nvg","bt"
0.00008,10.00000,"walk","hvg","basic"
0.00008,10.00000,"walk","hvg","dc"
0.00009,10.00000,"walk","hvg","bt"
0.00010,10.00000,"walk","nvg","basic"
0.00013,10.00000,"walk","nvg","dc"
0.00026,10.00000,"walk","nvg","bt"
0.00010,10.00000,"walk","hvg","basic"
0.00013,10.00000,"walk","hvg","dc"
0.00010,10.00000,"walk","hvg","bt"
0.00009,10.00000,"walk","nvg","basic"
0.00010,10.00000,"walk","nvg","dc"
0.00022,10.00000,"walk","nvg","bt"
0.00008,10.00000,"walk","hvg","basic"
0.00011,10.00000,"walk","hvg","dc"
0.00010,10.00000,"walk","hvg","bt"
0.00009,10.00000,"walk","nvg","basic"
0.00013,10.00000,"walk","nvg","dc"
0.00027,10.00000,"walk","nvg","bt"
0.00009,10.00000,"walk","hvg","basic"
0.00014,10.00000,"walk","hvg","dc"
0.00011,10.00000,"walk","hvg","bt"
0.00009,10.00000,"walk","nvg","basic"
0.00007,10.00000,"walk","nvg","dc"
0.00015,10.00000,"walk","nvg","bt"
0.00008,10.00000,"walk","hvg","basic"
0.00007,10.00000,"walk","hvg","dc"
0.00010,10.00000,"walk","hvg","bt"
0.00010,10.00000,"walk","nvg","basic"
0.00013,10.00000,"walk","nvg","dc"
0.00026,10.00000,"walk","nvg","bt"
0.00010,10.00000,"walk","hvg","basic"
0.00013,10.00000,"walk","hvg","dc"
0.00010,10.00000,"walk","hvg","bt"
0.00010,10.00000,"walk","nvg","basic"
0.00010,10.00000,"walk","nvg","dc"
0.00020,10.00000,"walk","nvg","bt"
0.00009,10.00000,"walk","hvg","basic"
0.00010,10.00000,"walk","hvg","dc"
0.00011,10.00000,"walk","hvg","bt"
0.00009,10.00000,"random","nvg","basic"
0.00008,10.00000,"random","nvg","dc"
0.00015,10.00000,"random","nvg","bt"
0.00008,10.00000,"random","hvg","basic"
0.00007,10.00000,"random","hvg","dc"
0.00009,10.00000,"random","hvg","bt"
0.00010,10.00000,"random","nvg","basic"
0.00011,10.00000,"random","nvg","dc"
0.00022,10.00000,"random","nvg","bt"
0.00010,10.00000,"random","hvg","basic"
0.00011,10.00000,"random","hvg","dc"
0.00012,10.00000,"random","hvg","bt"
0.00009,10.00000,"random","nvg","basic"
0.00007,10.00000,"random","nvg","dc"
0.00014,10.00000,"random","nvg","bt"
0.00007,10.00000,"random","hvg","basic"
0.00007,10.00000,"random","hvg","dc"
0.00008,10.00000,"random","hvg","bt"
0.00009,10.00000,"random","nvg","basic"
0.00008,10.00000,"random","nvg","dc"
0.00016,10.00000,"random","nvg","bt"
0.00006,10.00000,"random","hvg","basic"
0.00008,10.00000,"random","hvg","dc"
0.00009,10.00000,"random","hvg","bt"
0.00009,10.00000,"random","nvg","basic"
0.00007,10.00000,"random","nvg","dc"
0.00015,10.00000,"random","nvg","bt"
0.00007,10.00000,"random","hvg","basic"
0.00007,10.00000,"random","hvg","dc"
0.00009,10.00000,"random","hvg","bt"
0.00009,10.00000,"random","nvg","basic"
0.00007,10.00000,"random","nvg","dc"
0.00015,10.00000,"random","nvg","bt"
0.00006,10.00000,"random","hvg","basic"
0.00007,10.00000,"random","hvg","dc"
0.00008,10.00000,"random","hvg","bt"
0.00009,10.00000,"random","nvg","basic"
0.00008,10.00000,"random","nvg","dc"
0.00016,10.00000,"random","nvg","bt"
