"Type","computation time (s)","visibility","Method"
"speech",2.13888,"nvg","basic"
"speech",0.22686,"nvg","dc"
"speech",0.55231,"nvg","bt"
"speech",0.91660,"hvg","basic"
"speech",0.08412,"hvg","dc"
"speech",0.05913,"hvg","bt"
"speech",2.01011,"nvg","basic"
"speech",0.13826,"nvg","dc"
"speech",0.38840,"nvg","bt"
"speech",0.93238,"hvg","basic"
"speech",0.05886,"hvg","dc"
"speech",0.02580,"hvg","bt"
"speech",2.21075,"nvg","basic"
"speech",0.28867,"nvg","dc"
"speech",0.62648,"nvg","bt"
"speech",0.96034,"hvg","basic"
"speech",0.08529,"hvg","dc"
"speech",0.03175,"hvg","bt"
"speech",2.18508,"nvg","basic"
"speech",0.23720,"nvg","dc"
"speech",0.45469,"nvg","bt"
"speech",0.91962,"hvg","basic"
"speech",0.06785,"hvg","dc"
"speech",0.03633,"hvg","bt"
"speech",1.98205,"nvg","basic"
"speech",0.11837,"nvg","dc"
"speech",0.40071,"nvg","bt"
"speech",0.95788,"hvg","basic"
"speech",0.05860,"hvg","dc"
"speech",0.02821,"hvg","bt"
"speech",2.06845,"nvg","basic"
"speech",0.11481,"nvg","dc"
"speech",0.33805,"nvg","bt"
"speech",0.95169,"hvg","basic"
"speech",0.05765,"hvg","dc"
"speech",0.02891,"hvg","bt"
"speech",2.17552,"nvg","basic"
"speech",0.10506,"nvg","dc"
"speech",0.32748,"nvg","bt"
"speech",1.01805,"hvg","basic"
"speech",0.04966,"hvg","dc"
"speech",0.02524,"hvg","bt"
"speech",2.08493,"nvg","basic"
"speech",0.11771,"nvg","dc"
"speech",0.38493,"nvg","bt"
"speech",0.93018,"hvg","basic"
"speech",0.05960,"hvg","dc"
"speech",0.02821,"hvg","bt"
"speech",2.29923,"nvg","basic"
"speech",0.13653,"nvg","dc"
"speech",0.37637,"nvg","bt"
"speech",1.27862,"hvg","basic"
"speech",0.05240,"hvg","dc"
"speech",0.02592,"hvg","bt"
"speech",2.32262,"nvg","basic"
"speech",0.18064,"nvg","dc"
"speech",0.42538,"nvg","bt"
"speech",1.02587,"hvg","basic"
"speech",0.06196,"hvg","dc"
"speech",0.02870,"hvg","bt"
"speech",2.31461,"nvg","basic"
"speech",0.17153,"nvg","dc"
"speech",0.44437,"nvg","bt"
"speech",0.95122,"hvg","basic"
"speech",0.06069,"hvg","dc"
"speech",0.02816,"hvg","bt"
"speech",2.19531,"nvg","basic"
"speech",0.13892,"nvg","dc"
"speech",0.38841,"nvg","bt"
"speech",0.92570,"hvg","basic"
"speech",0.05608,"hvg","dc"
"speech",0.02759,"hvg","bt"
"speech",2.20380,"nvg","basic"
"speech",0.34045,"nvg","dc"
"speech",0.76849,"nvg","bt"
"speech",0.99432,"hvg","basic"
"speech",0.10159,"hvg","dc"
"speech",0.03883,"hvg","bt"
"speech",2.47930,"nvg","basic"
"speech",0.16894,"nvg","dc"
"speech",0.45426,"nvg","bt"
"speech",0.98506,"hvg","basic"
"speech",0.05923,"hvg","dc"
"speech",0.02880,"hvg","bt"
"speech",2.77038,"nvg","basic"
"speech",0.36629,"nvg","dc"
"speech",0.98098,"nvg","bt"
"speech",0.96088,"hvg","basic"
"speech",0.14872,"hvg","dc"
"speech",0.04577,"hvg","bt"
"speech",2.15004,"nvg","basic"
"speech",0.19423,"nvg","dc"
"speech",0.47350,"nvg","bt"
"speech",0.89378,"hvg","basic"
"speech",0.06089,"hvg","dc"
"speech",0.03055,"hvg","bt"
"speech",1.94333,"nvg","basic"
"speech",0.15613,"nvg","dc"
"speech",0.45686,"nvg","bt"
"speech",0.87989,"hvg","basic"
"speech",0.07251,"hvg","dc"
"speech",0.03129,"hvg","bt"
"speech",2.19534,"nvg","basic"
"speech",0.11052,"nvg","dc"
"speech",0.35289,"nvg","bt"
"speech",1.02061,"hvg","basic"
"speech",0.05542,"hvg","dc"
"speech",0.02751,"hvg","bt"
"speech",2.14491,"nvg","basic"
"speech",0.23961,"nvg","dc"
"speech",0.54473,"nvg","bt"
