"N","size ratio","time ratio","type"
10,1.00000,1.44000,"Append"
10,1.00000,0.62000,"Insert"
10,10.00000,7.74000,"Append"
10,10.00000,4.89000,"Insert"
10,100.00000,81.52000,"Append"
10,100.00000,31.35000,"Insert"
10,1000.00000,460.51000,"Append"
10,1000.00000,60.82000,"Insert"
10,1.00000,1.00000,"Append"
10,1.00000,0.54000,"Insert"
10,10.00000,9.44000,"Append"
10,10.00000,2.19000,"Insert"
10,100.00000,54.13000,"Append"
10,100.00000,17.81000,"Insert"
10,1000.00000,467.42000,"Append"
10,1000.00000,64.31000,"Insert"
10,1.00000,0.92000,"Append"
10,1.00000,0.53000,"Insert"
10,10.00000,8.20000,"Append"
10,10.00000,2.06000,"Insert"
10,100.00000,79.18000,"Append"
10,100.00000,17.17000,"Insert"
10,1000.00000,595.96000,"Append"
10,1000.00000,78.98000,"Insert"
10,1.00000,0.88000,"Append"
10,1.00000,0.85000,"Insert"
10,10.00000,6.72000,"Append"
10,10.00000,1.88000,"Insert"
10,100.00000,88.42000,"Append"
10,100.00000,13.88000,"Insert"
10,1000.00000,316.79000,"Append"
10,1000.00000,58.09000,"Insert"
10,1.00000,0.84000,"Append"
10,1.00000,0.86000,"Insert"
10,10.00000,7.76000,"Append"
10,10.00000,2.32000,"Insert"
10,100.00000,84.47000,"Append"
10,100.00000,19.72000,"Insert"
10,1000.00000,483.24000,"Append"
10,1000.00000,62.43000,"Insert"
10,1.00000,0.72000,"Append"
10,1.00000,0.56000,"Insert"
10,10.00000,7.80000,"Append"
10,10.00000,1.98000,"Insert"
10,100.00000,64.07000,"Append"
10,100.00000,12.15000,"Insert"
10,1000.00000,403.90000,"Append"
10,1000.00000,86.79000,"Insert"
10,1.00000,0.43000,"Append"
10,1.00000,0.76000,"Insert"
10,10.00000,6.10000,"Append"
10,10.00000,2.24000,"Insert"
10,100.00000,46.36000,"Append"
10,100.00000,19.33000,"Insert"
10,1000.00000,479.65000,"Append"
10,1000.00000,51.05000,"Insert"
10,1.00000,0.74000,"Append"
10,1.00000,0.54000,"Insert"
