"y","type"
0.00006,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00009,"speech"
0.00012,"speech"
0.00000,"speech"
0.00018,"speech"
0.00009,"speech"
0.00006,"speech"
0.00018,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00009,"speech"
0.00012,"speech"
0.00006,"speech"
0.00018,"speech"
0.00009,"speech"
0.00012,"speech"
0.00009,"speech"
0.00000,"speech"
0.00003,"speech"
0.00015,"speech"
0.00003,"speech"
0.00012,"speech"
0.00009,"speech"
0.00009,"speech"
0.00003,"speech"
0.00009,"speech"
0.00009,"speech"
0.00006,"speech"
0.00003,"speech"
0.00015,"speech"
0.00006,"speech"
0.00012,"speech"
0.00006,"speech"
0.00015,"speech"
0.00000,"speech"
0.00012,"speech"
0.00012,"speech"
0.00018,"speech"
0.00006,"speech"
0.00003,"speech"
0.00012,"speech"
0.00009,"speech"
0.00018,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00009,"speech"
0.00012,"speech"
0.00006,"speech"
0.00012,"speech"
0.00000,"speech"
0.00018,"speech"
0.00009,"speech"
0.00015,"speech"
0.00006,"speech"
0.00012,"speech"
0.00000,"speech"
0.00009,"speech"
0.00015,"speech"
0.00015,"speech"
0.00009,"speech"
0.00006,"speech"
0.00009,"speech"
0.00000,"speech"
0.00015,"speech"
0.00000,"speech"
0.00015,"speech"
0.00000,"speech"
0.00009,"speech"
0.00012,"speech"
0.00012,"speech"
0.00009,"speech"
0.00003,"speech"
0.00018,"speech"
0.00006,"speech"
0.00012,"speech"
0.00003,"speech"
0.00018,"speech"
0.00006,"speech"
0.00018,"speech"
0.00009,"speech"
0.00009,"speech"
0.00009,"speech"
0.00012,"speech"
0.00012,"speech"
0.00009,"speech"
0.00018,"speech"
0.00012,"speech"
0.00018,"speech"
0.00012,"speech"
0.00018,"speech"
0.00012,"speech"
0.00018,"speech"
0.00009,"speech"
0.00012,"speech"
0.00012,"speech"
0.00009,"speech"
0.00009,"speech"
0.00003,"speech"
0.00012,"speech"
0.00006,"speech"
0.00018,"speech"
0.00015,"speech"
0.00018,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00018,"speech"
0.00006,"speech"
0.00009,"speech"
0.00009,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00000,"speech"
0.00009,"speech"
0.00006,"speech"
0.00012,"speech"
0.00009,"speech"
0.00018,"speech"
0.00009,"speech"
0.00012,"speech"
0.00015,"speech"
0.00018,"speech"
0.00009,"speech"
0.00012,"speech"
0.00015,"speech"
0.00009,"speech"
0.00012,"speech"
0.00009,"speech"
0.00015,"speech"
0.00003,"speech"
0.00015,"speech"
0.00009,"speech"
0.00018,"speech"
0.00003,"speech"
0.00021,"speech"
0.00009,"speech"
0.00034,"speech"
-0.00034,"speech"
0.00015,"speech"
0.00000,"speech"
0.00024,"speech"
-0.00006,"speech"
-0.00003,"speech"
-0.00006,"speech"
0.00021,"speech"
-0.00003,"speech"
0.00003,"speech"
0.00012,"speech"
0.00003,"speech"
0.00000,"speech"
-0.00006,"speech"
0.00009,"speech"
0.00006,"speech"
-0.00006,"speech"
-0.00003,"speech"
0.00003,"speech"
0.00000,"speech"
0.00003,"speech"
0.00003,"speech"
0.00012,"speech"
0.00009,"speech"
-0.00006,"speech"
0.00006,"speech"
0.00018,"speech"
0.00006,"speech"
0.00012,"speech"
0.00009,"speech"
0.00018,"speech"
0.00012,"speech"
0.00012,"speech"
0.00009,"speech"
0.00012,"speech"
0.00015,"speech"
0.00003,"speech"
0.00003,"speech"
0.00012,"speech"
0.00006,"speech"
0.00009,"speech"
0.00006,"speech"
0.00018,"speech"
0.00006,"speech"
0.00012,"speech"
0.00009,"speech"
0.00003,"speech"
0.00006,"speech"
0.00018,"speech"
0.00009,"speech"
0.00012,"speech"
-0.00003,"speech"
0.00006,"speech"
0.00012,"speech"
0.00006,"speech"
0.00012,"speech"
0.00009,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00006,"speech"
0.00018,"speech"
0.00009,"speech"
0.00012,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00009,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00015,"speech"
0.00018,"speech"
0.00006,"speech"
0.00009,"speech"
0.00018,"speech"
0.00012,"speech"
0.00009,"speech"
0.00018,"speech"
0.00012,"speech"
0.00018,"speech"
0.00009,"speech"
0.00009,"speech"
0.00018,"speech"
0.00012,"speech"
0.00009,"speech"
0.00018,"speech"
0.00006,"speech"
0.00018,"speech"
0.00009,"speech"
