"y","type"
0.00248,"random"
0.24399,"random"
0.63002,"random"
0.31365,"random"
0.17298,"random"
0.95341,"random"
0.17720,"random"
0.18797,"random"
0.12697,"random"
0.43383,"random"
0.36828,"random"
0.50793,"random"
0.15245,"random"
0.99316,"random"
0.61563,"random"
0.26329,"random"
0.50477,"random"
0.80766,"random"
0.21593,"random"
0.39606,"random"
0.11521,"random"
0.83055,"random"
0.70228,"random"
0.37862,"random"
0.47656,"random"
0.66129,"random"
0.16236,"random"
0.87384,"random"
0.43236,"random"
0.46976,"random"
0.48180,"random"
0.25566,"random"
0.78245,"random"
0.43890,"random"
0.14244,"random"
0.94319,"random"
0.01579,"random"
0.88667,"random"
0.17542,"random"
0.39379,"random"
0.17505,"random"
0.29695,"random"
0.39988,"random"
0.99822,"random"
0.69284,"random"
0.21848,"random"
0.24526,"random"
0.56971,"random"
0.20197,"random"
0.16117,"random"
0.06356,"random"
0.84306,"random"
0.55244,"random"
0.04534,"random"
0.23719,"random"
0.46274,"random"
0.19472,"random"
0.62344,"random"
0.30945,"random"
0.84828,"random"
0.86764,"random"
0.89627,"random"
0.66866,"random"
0.92077,"random"
0.11974,"random"
0.75991,"random"
0.60796,"random"
0.26029,"random"
0.33593,"random"
0.38276,"random"
0.95865,"random"
0.25775,"random"
0.04015,"random"
0.15398,"random"
0.85555,"random"
0.05575,"random"
0.32626,"random"
0.59407,"random"
0.48585,"random"
0.68338,"random"
0.63811,"random"
0.96674,"random"
0.11309,"random"
0.19284,"random"
0.40562,"random"
0.14430,"random"
0.14912,"random"
0.39185,"random"
0.49565,"random"
0.89420,"random"
0.44136,"random"
0.17431,"random"
0.32932,"random"
0.44818,"random"
0.93511,"random"
0.66412,"random"
0.85235,"random"
0.87083,"random"
0.67010,"random"
0.92074,"random"
0.93204,"random"
0.54401,"random"
0.59624,"random"
0.10042,"random"
0.27224,"random"
0.01882,"random"
0.71537,"random"
0.78399,"random"
0.25025,"random"
0.00996,"random"
0.83040,"random"
0.45952,"random"
0.46343,"random"
0.71329,"random"
0.32858,"random"
0.69214,"random"
0.03100,"random"
0.57401,"random"
0.28939,"random"
0.74192,"random"
0.44224,"random"
0.10996,"random"
0.91418,"random"
0.64634,"random"
0.20087,"random"
0.90167,"random"
0.45790,"random"
0.86613,"random"
0.29985,"random"
0.36501,"random"
0.99815,"random"
0.33061,"random"
0.40453,"random"
0.34516,"random"
0.28835,"random"
0.40459,"random"
0.14738,"random"
0.58621,"random"
0.07864,"random"
0.59054,"random"
0.12002,"random"
0.26890,"random"
0.38842,"random"
0.60465,"random"
0.94170,"random"
0.40283,"random"
0.86806,"random"
0.12167,"random"
0.32664,"random"
0.24908,"random"
0.43401,"random"
0.21619,"random"
0.62150,"random"
0.47356,"random"
0.76738,"random"
0.65628,"random"
0.57153,"random"
0.72425,"random"
0.53905,"random"
0.16030,"random"
0.63185,"random"
0.08657,"random"
0.26191,"random"
0.38283,"random"
0.75494,"random"
0.65832,"random"
0.63032,"random"
0.90667,"random"
0.45944,"random"
0.49842,"random"
0.90750,"random"
0.12206,"random"
0.55358,"random"
0.01559,"random"
0.26919,"random"
0.35313,"random"
0.12526,"random"
0.12816,"random"
0.66102,"random"
0.87227,"random"
0.67308,"random"
0.28129,"random"
0.48126,"random"
0.28753,"random"
0.30434,"random"
0.62547,"random"
0.55534,"random"
0.29910,"random"
0.87622,"random"
0.75614,"random"
0.75596,"random"
0.01985,"random"
0.44271,"random"
0.44116,"random"
0.21149,"random"
0.19543,"random"
0.49434,"random"
0.54989,"random"
0.07036,"random"
0.68554,"random"
0.66270,"random"
0.15025,"random"
0.35024,"random"
0.27651,"random"
0.51623,"random"
0.79535,"random"
0.79381,"random"
0.06694,"random"
0.90327,"random"
0.42427,"random"
0.31110,"random"
0.89199,"random"
0.84107,"random"
0.60518,"random"
0.79010,"random"
0.42340,"random"
0.78039,"random"
0.29257,"random"
0.20725,"random"
0.05463,"random"
0.88982,"random"
0.72785,"random"
0.76232,"random"
0.42087,"random"
0.94333,"random"
0.98264,"random"
0.63621,"random"
0.79821,"random"
0.52254,"random"
0.90285,"random"
0.92931,"random"
0.77258,"random"
0.18111,"random"
0.77333,"random"
0.90290,"random"
0.24100,"random"
0.22240,"random"
0.41913,"random"
0.35438,"random"
0.87523,"random"
0.79942,"random"
0.89433,"random"
0.44761,"random"
0.55136,"random"
0.74104,"random"
0.14029,"random"
0.82966,"random"
0.97527,"random"
0.60949,"random"
0.85842,"random"
-1.00000,"random_walk"
0.00000,"random_walk"
1.00000,"random_walk"
0.00000,"random_walk"
-1.00000,"random_walk"
-2.00000,"random_walk"
-3.00000,"random_walk"
-4.00000,"random_walk"
-3.00000,"random_walk"
-4.00000,"random_walk"
-5.00000,"random_walk"
-4.00000,"random_walk"
-5.00000,"random_walk"
-6.00000,"random_walk"
-5.00000,"random_walk"
-6.00000,"random_walk"
-7.00000,"random_walk"
-6.00000,"random_walk"
-7.00000,"random_walk"
-6.00000,"random_walk"
-5.00000,"random_walk"
-4.00000,"random_walk"
-5.00000,"random_walk"
-4.00000,"random_walk"
-5.00000,"random_walk"
-6.00000,"random_walk"
-5.00000,"random_walk"
-6.00000,"random_walk"
